subject,trial,kind,stress_level
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Relax,0
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Mirror,3
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Arithmetic,6
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,1,Stroop,3
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Mirror,5
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
1,2,Relax,0
